BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         589     1.13921     1.21002   0.0102756
         590     1.14261     1.20991   0.0102588
         591     1.14597      1.2098    0.010242
         592     1.14927      1.2097   0.0102252
         593     1.15253      1.2096   0.0102085
         594     1.15572     1.20951   0.0101917
         595     1.15883     1.20943   0.0101749
         596     1.16186     1.20935   0.0101581
         597      1.1648     1.20927   0.0101414
         598     1.16763      1.2092   0.0101247
         599     1.17036     1.20914    0.010108
         600     1.17297     1.20908   0.0100913
         601     1.17545     1.20902   0.0100747
         602     1.17781     1.20897   0.0100581
         603     1.18003     1.20892   0.0100415
         604     1.18212     1.20888    0.010025
         605     1.18407     1.20883   0.0100085
         606     1.18589      1.2088  0.00999206
         607     1.18757     1.20876  0.00997566
         608     1.18912     1.20873   0.0099593
         609     1.19055      1.2087  0.00994299
         610     1.19186     1.20867  0.00992673
         611     1.19307     1.20865  0.00991052
         612     1.19418     1.20862  0.00989435
         613     1.19521      1.2086  0.00987824
         614     1.19615     1.20858  0.00986217
         615     1.19703     1.20856  0.00984615
         616     1.19785     1.20854  0.00983018
         617     1.19863     1.20853  0.00981426
         618     1.19937     1.20851  0.00979839
         619     1.20008      1.2085  0.00978257
         620     1.20077     1.20849   0.0097668
         621     1.20144     1.20848  0.00975108
         622     1.20209     1.20847  0.00973541
         623     1.20272     1.20846  0.00971979
         624     1.20334     1.20845  0.00970421
         625     1.20394     1.20844  0.00968869
         626     1.20452     1.20844  0.00967321
         627     1.20508     1.20843  0.00965779
         628     1.20561     1.20843  0.00964241
         629      1.2061     1.20842  0.00962708
         630     1.20656     1.20842   0.0096118
         631     1.20696     1.20842  0.00959657
         632      1.2073     1.20841  0.00958138
         633     1.20759     1.20841  0.00956625
         634      1.2078     1.20841  0.00955116
         635     1.20794     1.20841  0.00953612
         636       1.208     1.20841  0.00952112
         637     1.20798     1.20841  0.00950618
         638     1.20787     1.20841  0.00949128
         639     1.20768     1.20841  0.00947642
         640     1.20741     1.20841  0.00946162
         641     1.20705      1.2084  0.00944686
         642     1.20662      1.2084  0.00943214
         643     1.20611      1.2084  0.00941747
         644     1.20554     1.20839  0.00940285
         645      1.2049     1.20839  0.00938828
         646     1.20422     1.20838  0.00937375
         647     1.20349     1.20837  0.00935926
         648     1.20273     1.20837  0.00934482
         649     1.20195     1.20836  0.00933043
         650     1.20115     1.20834  0.00931608
         651     1.20036     1.20833  0.00930178
         652     1.19957     1.20832  0.00928752
         653     1.19879      1.2083  0.00927331
         654     1.19802     1.20829  0.00925914
         655     1.19728     1.20827  0.00924502
         656     1.19656     1.20825  0.00923095
         657     1.19587     1.20824  0.00921692
         658      1.1952     1.20822  0.00920293
         659     1.19456     1.20819  0.00918899
         660     1.19394     1.20817  0.00917509
         661     1.19334     1.20815  0.00916124
         662     1.19275     1.20813  0.00914743
         663     1.19217      1.2081  0.00913366
         664      1.1916     1.20808  0.00911994
         665     1.19103     1.20805  0.00910626
         666     1.19047     1.20803  0.00909263
         667      1.1899       1.208  0.00907904
         668     1.18933     1.20797  0.00906549
         669     1.18875     1.20794  0.00905198
         670     1.18817     1.20791  0.00903852
         671     1.18759     1.20788   0.0090251
         672     1.18702     1.20785  0.00901172
         673     1.18645     1.20782  0.00899839
         674     1.18591     1.20779   0.0089851
         675     1.18539     1.20775  0.00897185
         676      1.1849     1.20772  0.00895864
         677     1.18446     1.20769  0.00894547
         678     1.18408     1.20765  0.00893235
         679     1.18377     1.20762  0.00891926
         680     1.18353     1.20758  0.00890621
         681      1.1834     1.20755  0.00889321
         682     1.18336     1.20751  0.00888024
         683     1.18344     1.20747  0.00886731
         684     1.18365     1.20744  0.00885441
         685       1.184     1.20741  0.00884155
         686     1.18448     1.20737  0.00882872
         687     1.18511     1.20734  0.00881593
         688      1.1859     1.20731  0.00880317
         689     1.18684     1.20728  0.00879045
         690     1.18793     1.20725  0.00877775
         691     1.18917     1.20722  0.00876509
         692     1.19057      1.2072  0.00875246
         693     1.19211     1.20718  0.00873985
         694     1.19379     1.20716  0.00872728
         695     1.19559     1.20714  0.00871474
         696      1.1975     1.20713  0.00870223
         697     1.19951     1.20712  0.00868975
         698      1.2016     1.20711   0.0086773
         699     1.20376     1.20711  0.00866489
         700     1.20596      1.2071  0.00865251
         701      1.2082     1.20711  0.00864017
         702     1.21045     1.20711  0.00862786
         703     1.21269     1.20712   0.0086156
         704      1.2149     1.20713  0.00860336
         705     1.21706     1.20714  0.00859117
         706     1.21915     1.20716  0.00857902
         707     1.22115     1.20718  0.00856691
         708     1.22305      1.2072  0.00855484
         709     1.22482     1.20723  0.00854281
         710     1.22646     1.20725  0.00853082
         711     1.22794     1.20728  0.00851887
         712     1.22925     1.20731  0.00850696
         713     1.23038     1.20735  0.00849509
         714     1.23132     1.20738  0.00848326
         715     1.23207     1.20741  0.00847147
         716      1.2326     1.20745  0.00845971
         717     1.23293     1.20749  0.00844798
         718     1.23304     1.20752  0.00843629
         719     1.23294     1.20756  0.00842463
         720     1.23262     1.20759    0.008413
         721     1.23209     1.20762   0.0084014
         722     1.23135     1.20766  0.00838983
         723     1.23042     1.20769  0.00837829
         724     1.22929     1.20772  0.00836677
         725     1.22798     1.20775  0.00835527
         726      1.2265     1.20777   0.0083438
         727     1.22486      1.2078  0.00833236
         728     1.22308     1.20782  0.00832094
         729     1.22117     1.20784  0.00830955
         730     1.21915     1.20785  0.00829818
         731     1.21704     1.20786  0.00828684
