VELOCITY:     AVE_POFV:        ERROR:
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.345       0.168   0.0452985
         0.4       0.655     1.18878    0.148054
    0.666667       4.013     3.85565    0.376801
    0.933333       5.203     4.97039      0.3927
         1.2        5.18      7.9767    0.457163
     1.46667        7.39     8.85283    0.356533
     1.73333      11.734     10.2208    0.391855
           2      12.384     11.8777    0.552105
     2.26667      10.366     9.92517     0.37378
     2.53333      13.022      10.835    0.501842
         2.8       9.553     9.20878    0.347302
     3.06667       7.443     8.18596    0.318155
     3.33333       7.011     6.35735    0.283934
         3.6       3.958     4.10291    0.240523
     3.86667       1.811     3.24913     0.27635
     4.13333        2.36     2.71122    0.188769
         4.4       2.228     1.47139    0.159909
     4.66667       1.803     1.29539    0.193499
     4.93333       0.193    0.475739    0.102161
         5.2       1.228    0.308087   0.0702937
     5.46667        0.12    0.224565   0.0491342
     5.73333           0    0.326174   0.0787818
           6           0   0.0581304   0.0342767
     6.26667           0    0.019087   0.0182713
     6.53333           0    0.073087   0.0456542
         6.8           0   0.0595217   0.0403412
     7.06667           0  0.00252174  0.00246631
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.096       0.165   0.0435103
         0.4        1.96     1.22092     0.14533
    0.666667       5.785     3.93604    0.369577
    0.933333       2.468     4.86613    0.389934
         1.2       2.814     7.76158    0.486097
     1.46667       7.854     8.81121    0.344098
     1.73333      12.591     10.3195    0.387773
           2      15.168     12.0148    0.545857
     2.26667      11.578     9.99404    0.364495
     2.53333       9.839     10.7935    0.482645
         2.8      10.705     9.27112     0.33838
     3.06667       6.744     8.12588    0.310519
     3.33333       5.192     6.30879    0.276224
         3.6       5.746     4.17137    0.240047
     3.86667       2.026     3.19817    0.269493
     4.13333       2.818     2.71567    0.180956
         4.4       1.647     1.47871    0.153413
     4.66667       1.448     1.30175    0.185541
     4.93333       0.081    0.459292   0.0992195
         5.2       1.139    0.342708   0.0754103
     5.46667       0.268    0.226375   0.0471203
     5.73333       0.033    0.313958   0.0764404
           6           0   0.0557083    0.032934
     6.26667           0   0.0182917   0.0175273
     6.53333           0   0.0700417   0.0438534
         6.8           0   0.0570417   0.0387364
     7.06667           0  0.00241667  0.00236578
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333       0.007     0.15868   0.0422264
         0.4       0.814     1.20464    0.140426
    0.666667       3.806     3.93084     0.35483
    0.933333       3.475     4.81048    0.378286
         1.2       4.132      7.6164    0.487852
     1.46667      10.466      8.8774    0.336641
     1.73333      11.419     10.3635    0.374747
           2      14.175     12.1012    0.530818
     2.26667      12.271     10.0851    0.361115
     2.53333       8.331      10.695    0.473284
         2.8       9.844     9.29404     0.32562
     3.06667       9.901     8.19688    0.306109
     3.33333       4.349      6.2304    0.276075
         3.6       5.472      4.2234    0.236016
     3.86667       2.643     3.17596    0.259627
     4.13333       2.775     2.71804    0.173734
         4.4       2.285     1.51096    0.150629
     4.66667       0.829     1.28284     0.17908
     4.93333       0.715     0.46952   0.0957765
         5.2       0.005      0.3292   0.0735938
     5.46667       0.251     0.22736   0.0452457
     5.73333       0.035      0.3028   0.0741927
           6           0     0.05348   0.0316919
     6.26667           0     0.01756   0.0168415
     6.53333           0     0.06724   0.0421887
         6.8           0     0.05476   0.0372541
     7.06667           0     0.00232  0.00227313
     7.33333           0           0           0
         7.6           0           0           0
     7.86667           0           0           0
    0.133333           0    0.152577    0.041041
         0.4       0.452     1.17569    0.137976
    0.666667       3.308     3.90688     0.34199
    0.933333       6.213     4.86442    0.367563
