BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         517     2.05295     2.01958 0.000895353
         518     2.05396     2.01965 0.000896081
         519     2.05498     2.01971 0.000896937
         520       2.056     2.01978 0.000897922
         521     2.05701     2.01986 0.000899037
         522     2.05802     2.01993 0.000900282
         523     2.05901        2.02 0.000901657
         524     2.05999     2.02008  0.00090316
         525     2.06095     2.02016 0.000904789
         526      2.0619     2.02024 0.000906543
         527     2.06283     2.02032 0.000908418
         528     2.06374      2.0204 0.000910412
         529     2.06463     2.02048 0.000912522
         530      2.0655     2.02057 0.000914745
         531     2.06636     2.02066 0.000917078
         532      2.0672     2.02074 0.000919519
         533     2.06803     2.02083 0.000922063
         534     2.06884     2.02092  0.00092471
         535     2.06965     2.02101 0.000927456
         536     2.07044      2.0211 0.000930299
         537     2.07122      2.0212 0.000933236
         538       2.072     2.02129 0.000936267
         539     2.07277     2.02139 0.000939389
         540     2.07354     2.02148   0.0009426
         541      2.0743     2.02158   0.0009459
         542     2.07506     2.02168 0.000949287
         543     2.07582     2.02178  0.00095276
         544     2.07657     2.02188 0.000956318
         545     2.07733     2.02198  0.00095996
         546     2.07808     2.02209 0.000963685
         547     2.07884     2.02219 0.000967492
         548     2.07959     2.02229  0.00097138
         549     2.08034      2.0224 0.000975348
         550     2.08109     2.02251 0.000979395
         551     2.08184     2.02261  0.00098352
         552     2.08259     2.02272 0.000987721
         553     2.08333     2.02283 0.000991997
         554     2.08407     2.02294 0.000996346
         555      2.0848     2.02305  0.00100077
         556     2.08553     2.02317  0.00100525
         557     2.08625     2.02328  0.00100981
         558     2.08697     2.02339  0.00101443
         559     2.08767     2.02351  0.00101911
         560     2.08836     2.02363  0.00102385
         561     2.08904     2.02374  0.00102864
         562      2.0897     2.02386  0.00103349
         563     2.09035     2.02398  0.00103838
         564     2.09098      2.0241  0.00104331
         565     2.09159     2.02422  0.00104828
         566     2.09218     2.02434  0.00105328
         567     2.09275     2.02446  0.00105831
         568     2.09329     2.02458  0.00106337
         569     2.09381      2.0247  0.00106844
         570      2.0943     2.02482  0.00107352
         571     2.09477     2.02494   0.0010786
         572      2.0952     2.02507  0.00108369
         573      2.0956     2.02519  0.00108877
         574     2.09597     2.02531  0.00109383
         575     2.09631     2.02544  0.00109887
         576     2.09661     2.02556  0.00110389
         577     2.09688     2.02568  0.00110888
         578     2.09712     2.02581  0.00111383
         579     2.09731     2.02593  0.00111873
         580     2.09747     2.02605  0.00112358
         581      2.0976     2.02618  0.00112837
         582     2.09768      2.0263   0.0011331
         583     2.09773     2.02642  0.00113776
         584     2.09774     2.02654  0.00114235
         585     2.09772     2.02667  0.00114686
         586     2.09766     2.02679  0.00115128
         587     2.09756     2.02691  0.00115562
         588     2.09743     2.02703  0.00115986
         589     2.09727     2.02715  0.00116401
         590     2.09707     2.02727  0.00116805
         591     2.09684     2.02738  0.00117199
         592     2.09658      2.0275  0.00117583
         593     2.09629     2.02762  0.00117955
         594     2.09598     2.02773  0.00118317
         595     2.09564     2.02785  0.00118667
         596     2.09527     2.02796  0.00119006
         597     2.09488     2.02807  0.00119334
         598     2.09447     2.02818  0.00119649
         599     2.09404     2.02829  0.00119954
         600     2.09359      2.0284  0.00120247
         601     2.09313     2.02851  0.00120528
         602     2.09266     2.02861  0.00120798
         603     2.09217     2.02872  0.00121057
         604     2.09168     2.02882  0.00121304
         605     2.09117     2.02893   0.0012154
         606     2.09067     2.02903  0.00121766
         607     2.09016     2.02913  0.00121981
         608     2.08965     2.02923  0.00122186
         609     2.08914     2.02933  0.00122381
         610     2.08863     2.02943  0.00122566
         611     2.08814     2.02952  0.00122741
         612     2.08765     2.02962  0.00122908
         613     2.08718     2.02971  0.00123065
         614     2.08672      2.0298  0.00123215
         615     2.08629     2.02989  0.00123356
         616     2.08588     2.02999   0.0012349
         617     2.08549     2.03008  0.00123617
         618     2.08514     2.03016  0.00123738
         619     2.08482     2.03025  0.00123853
         620     2.08454     2.03034  0.00123962
         621      2.0843     2.03043  0.00124067
         622     2.08411     2.03051  0.00124167
         623     2.08397      2.0306  0.00124264
         624     2.08389     2.03069  0.00124358
         625     2.08386     2.03077  0.00124449
         626      2.0839     2.03086   0.0012454
         627       2.084     2.03094  0.00124629
         628     2.08416     2.03102  0.00124718
         629      2.0844     2.03111  0.00124808
         630      2.0847     2.03119    0.001249
         631     2.08507     2.03128  0.00124993
         632     2.08551     2.03137   0.0012509
         633     2.08602     2.03145   0.0012519
         634     2.08659     2.03154  0.00125294
         635     2.08722     2.03163  0.00125403
         636     2.08792     2.03172  0.00125518
         637     2.08866      2.0318  0.00125639
         638     2.08946      2.0319  0.00125767
         639     2.09031     2.03199  0.00125902
         640     2.09119     2.03208  0.00126044
         641     2.09211     2.03217  0.00126195
         642     2.09305     2.03227  0.00126354
         643     2.09402     2.03236  0.00126522
         644       2.095     2.03246  0.00126699
         645     2.09599     2.03256  0.00126885
         646     2.09699     2.03266   0.0012708
         647     2.09798     2.03276  0.00127284
         648     2.09897     2.03286  0.00127497
         649     2.09994     2.03297  0.00127719
         650     2.10089     2.03307  0.00127949
         651     2.10183     2.03318  0.00128188
         652     2.10273     2.03328  0.00128434
         653     2.10361     2.03339  0.00128688
         654     2.10445      2.0335  0.00128949
         655     2.10526     2.03361  0.00129217
         656     2.10603     2.03372  0.00129491
         657     2.10676     2.03383   0.0012977
         658     2.10744     2.03394  0.00130054
         659     2.10809     2.03405  0.00130343
         660     2.10869     2.03417  0.00130635
         661     2.10925     2.03428   0.0013093
         662     2.10976     2.03439  0.00131228
         663     2.11024     2.03451  0.00131527
         664     2.11067     2.03462  0.00131829
         665     2.11106     2.03474   0.0013213
         666     2.11141     2.03485  0.00132433
         667     2.11172     2.03497  0.00132734
         668     2.11199     2.03508  0.00133036
         669     2.11223      2.0352  0.00133335
         670     2.11244     2.03532  0.00133634
         671     2.11261     2.03543   0.0013393
         672     2.11276     2.03555  0.00134225
         673     2.11289     2.03566  0.00134516
         674     2.11299     2.03577  0.00134805
         675     2.11307     2.03589  0.00135091
         676     2.11313       2.036  0.00135373
         677     2.11318     2.03612  0.00135653
         678     2.11322     2.03623  0.00135928
         679     2.11325     2.03634  0.00136201
         680     2.11328     2.03646  0.00136469
         681      2.1133     2.03657  0.00136735
         682     2.11331     2.03668  0.00136996
         683     2.11333      2.0368  0.00137255
         684     2.11335     2.03691   0.0013751
         685     2.11337     2.03702  0.00137761
         686      2.1134     2.03713   0.0013801
         687     2.11343     2.03724  0.00138255
         688     2.11347     2.03735  0.00138497
         689     2.11352     2.03746  0.00138737
         690     2.11358     2.03757  0.00138973
         691     2.11364     2.03768  0.00139208
         692     2.11371     2.03779  0.00139439
