n_block      H_average        errore
729 -0.445861 0.00272662
730 -0.445811 0.00272334
731 -0.445752 0.00272025
732 -0.445677 0.00271756
733 -0.445789 0.00271615
734 -0.445777 0.00271247
735 -0.445809 0.00270897
736 -0.445746 0.00270602
737 -0.44589 0.00270617
738 -0.445951 0.00270319
739 -0.44611 0.00270419
740 -0.44606 0.00270098
741 -0.446006 0.00269788
742 -0.445982 0.00269435
743 -0.445981 0.00269072
744 -0.446015 0.00268731
745 -0.446091 0.0026848
746 -0.445922 0.00268652
747 -0.445868 0.00268346
748 -0.445899 0.00268005
749 -0.445897 0.00267647
750 -0.445862 0.00267312
751 -0.445949 0.00267096
752 -0.445936 0.00266744
753 -0.445979 0.00266424
754 -0.445973 0.00266071
755 -0.445828 0.00266113
756 -0.445872 0.00265796
757 -0.445789 0.00265572
758 -0.445823 0.00265242
759 -0.445954 0.00265219
760 -0.445914 0.00264901
761 -0.445993 0.00264671
762 -0.446004 0.00264326
763 -0.44589 0.00264224
764 -0.445948 0.00263942
765 -0.445901 0.0026364
766 -0.446059 0.00263773
767 -0.446067 0.00263429
768 -0.446092 0.00263099
769 -0.446069 0.00262767
770 -0.44607 0.00262426
771 -0.446086 0.0026209
772 -0.446061 0.00261761
773 -0.446135 0.00261524
774 -0.446393 0.00262462
775 -0.446403 0.00262125
776 -0.446274 0.00262105
777 -0.446227 0.0026181
778 -0.446229 0.00261473
779 -0.446247 0.00261144
780 -0.44634 0.00260973
781 -0.446325 0.00260643
782 -0.446341 0.00260314
783 -0.446398 0.00260045
784 -0.446379 0.0025972
785 -0.446341 0.00259418
786 -0.446262 0.00259207
787 -0.446313 0.00258928
788 -0.446228 0.00258739
789 -0.446195 0.00258431
790 -0.446164 0.00258123
791 -0.446215 0.00257846
792 -0.446117 0.00257706
793 -0.445971 0.00257794
794 -0.445936 0.00257494
795 -0.445963 0.00257185
796 -0.446094 0.00257195
797 -0.446168 0.00256979
798 -0.446185 0.00256662
799 -0.446239 0.00256397
800 -0.446252 0.0025608
801 -0.446233 0.00255768
802 -0.446314 0.00255578
803 -0.446139 0.00255859
804 -0.445925 0.00256436
805 -0.445923 0.00256118
806 -0.446049 0.00256109
807 -0.446085 0.00255817
808 -0.446052 0.00255521
809 -0.445967 0.00255348
810 -0.445815 0.00255486
811 -0.445845 0.00255188
812 -0.445891 0.00254915
813 -0.445909 0.00254608
814 -0.445862 0.00254337
815 -0.445958 0.00254204
816 -0.445954 0.00253892
817 -0.445998 0.00253619
818 -0.445943 0.00253368
819 -0.44601 0.00253147
820 -0.445919 0.00253003
821 -0.445918 0.00252694
822 -0.445907 0.00252389
823 -0.445889 0.00252089
824 -0.445884 0.00251783
825 -0.445743 0.00251874
826 -0.445675 0.00251662
827 -0.445759 0.00251501
828 -0.445798 0.00251228
